EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 17-12-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : daily Cloud cover in oktas
23-27 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, BERLIN-TEGELER FLIESSTAL (STAID: 4581).
Blended and updated with sources: 121147 128059 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   CC, Q_CC
121147,19630101,    4,    0
121147,19630102,    5,    0
121147,19630103,    8,    0
121147,19630104,    8,    0
121147,19630105,    7,    0
121147,19630106,    7,    0
121147,19630107,    4,    0
121147,19630108,    6,    0
121147,19630109,    8,    0
121147,19630110,    3,    0
121147,19630111,    6,    0
121147,19630112,    4,    0
121147,19630113,    8,    0
121147,19630114,    7,    0
121147,19630115,    5,    0
121147,19630116,    5,    0
121147,19630117,    3,    0
121147,19630118,    5,    0
121147,19630119,    0,    0
121147,19630120,    3,    0
121147,19630121,    2,    0
121147,19630122,    8,    0
121147,19630123,    8,    0
121147,19630124,    8,    0
121147,19630125,    8,    0
121147,19630126,    8,    0
121147,19630127,    7,    0
121147,19630128,    7,    0
121147,19630129,    6,    0
121147,19630130,    2,    0
121147,19630131,    7,    0
121147,19630201,    5,    0
121147,19630202,    8,    0
121147,19630203,    8,    0
121147,19630204,    7,    0
121147,19630205,    3,    0
121147,19630206,    6,    0
121147,19630207,    5,    0
121147,19630208,    7,    0
121147,19630209,    8,    0
121147,19630210,    8,    0
121147,19630211,    8,    0
121147,19630212,    8,    0
121147,19630213,    8,    0
121147,19630214,    8,    0
121147,19630215,    6,    0
121147,19630216,    8,    0
121147,19630217,    8,    0
121147,19630218,    8,    0
121147,19630219,    8,    0
121147,19630220,    8,    0
121147,19630221,    7,    0
121147,19630222,    3,    0
121147,19630223,    2,    0
121147,19630224,    3,    0
121147,19630225,    8,    0
121147,19630226,    4,    0
121147,19630227,    4,    0
121147,19630228,    2,    0
121147,19630301,    3,    0
121147,19630302,    0,    0
121147,19630303,    5,    0
121147,19630304,    5,    0
121147,19630305,    4,    0
121147,19630306,    7,    0
121147,19630307,    7,    0
121147,19630308,    7,    0
121147,19630309,    8,    0
121147,19630310,    6,    0
121147,19630311,    7,    0
121147,19630312,    6,    0
121147,19630313,    8,    0
121147,19630314,    3,    0
121147,19630315,    7,    0
121147,19630316,    6,    0
121147,19630317,    8,    0
121147,19630318,    7,    0
121147,19630319,    6,    0
121147,19630320,    3,    0
121147,19630321,    4,    0
121147,19630322,    3,    0
121147,19630323,    2,    0
121147,19630324,    8,    0
121147,19630325,    8,    0
121147,19630326,    7,    0
121147,19630327,    7,    0
121147,19630328,    6,    0
121147,19630329,    6,    0
121147,19630330,    7,    0
121147,19630331,    8,    0
121147,19630401,    8,    0
121147,19630402,    5,    0
121147,19630403,    1,    0
121147,19630404,    4,    0
121147,19630405,    0,    0
121147,19630406,    1,    0
121147,19630407,    0,    0
121147,19630408,    4,    0
121147,19630409,    2,    0
121147,19630410,    7,    0
121147,19630411,    8,    0
121147,19630412,    7,    0
121147,19630413,    3,    0
121147,19630414,    5,    0
121147,19630415,    7,    0
121147,19630416,    8,    0
121147,19630417,    3,    0
121147,19630418,    7,    0
121147,19630419,    8,    0
121147,19630420,    8,    0
121147,19630421,    5,    0
121147,19630422,    7,    0
121147,19630423,    6,    0
121147,19630424,    8,    0
121147,19630425,    8,    0
121147,19630426,    1,    0
121147,19630427,    4,    0
121147,19630428,    8,    0
121147,19630429,    8,    0
121147,19630430,    5,    0
121147,19630501,    7,    0
121147,19630502,    8,    0
121147,19630503,    7,    0
121147,19630504,    8,    0
121147,19630505,    8,    0
121147,19630506,    5,    0
121147,19630507,    2,    0
121147,19630508,    2,    0
121147,19630509,    4,    0
121147,19630510,    7,    0
121147,19630511,    6,    0
121147,19630512,    5,    0
121147,19630513,    2,    0
121147,19630514,    8,    0
121147,19630515,    6,    0
121147,19630516,    5,    0
121147,19630517,    8,    0
121147,19630518,    4,    0
121147,19630519,    6,    0
121147,19630520,    3,    0
121147,19630521,    1,    0
121147,19630522,    1,    0
121147,19630523,    2,    0
121147,19630524,    7,    0
121147,19630525,    8,    0
121147,19630526,    7,    0
121147,19630527,    5,    0
121147,19630528,    8,    0
121147,19630529,    1,    0
121147,19630530,    1,    0
121147,19630531,    2,    0
121147,19630601,    2,    0
121147,19630602,    2,    0
121147,19630603,    1,    0
121147,19630604,    2,    0
121147,19630605,    5,    0
121147,19630606,    5,    0
121147,19630607,    3,    0
121147,19630608,    3,    0
121147,19630609,    3,    0
121147,19630610,    8,    0
121147,19630611,    4,    0
121147,19630612,    3,    0
121147,19630613,    5,    0
121147,19630614,    5,    0
121147,19630615,    6,    0
121147,19630616,    7,    0
121147,19630617,    7,    0
121147,19630618,    7,    0
121147,19630619,    6,    0
121147,19630620,    7,    0
121147,19630621,    5,    0
121147,19630622,    6,    0
121147,19630623,    5,    0
121147,19630624,    5,    0
121147,19630625,    8,    0
121147,19630626,    5,    0
121147,19630627,    4,    0
121147,19630628,    6,    0
121147,19630629,    2,    0
121147,19630630,    5,    0
121147,19630701,    7,    0
121147,19630702,    4,    0
121147,19630703,    2,    0
121147,19630704,    2,    0
121147,19630705,    5,    0
121147,19630706,    7,    0
121147,19630707,    5,    0
121147,19630708,    7,    0
121147,19630709,    6,    0
121147,19630710,    5,    0
121147,19630711,    6,    0
121147,19630712,    7,    0
121147,19630713,    6,    0
121147,19630714,    4,    0
121147,19630715,    2,    0
121147,19630716,    3,    0
121147,19630717,    5,    0
121147,19630718,    4,    0
121147,19630719,    7,    0
121147,19630720,    3,    0
121147,19630721,    0,    0
121147,19630722,    1,    0
121147,19630723,    3,    0
121147,19630724,    1,    0
121147,19630725,    5,    0
121147,19630726,    5,    0
121147,19630727,    5,    0
121147,19630728,    4,    0
121147,19630729,    2,    0
121147,19630730,    3,    0
121147,19630731,    3,    0
121147,19630801,    4,    0
121147,19630802,    2,    0
121147,19630803,    2,    0
121147,19630804,    3,    0
121147,19630805,    5,    0
121147,19630806,    4,    0
121147,19630807,    6,    0
121147,19630808,    8,    0
121147,19630809,    6,    0
121147,19630810,    6,    0
121147,19630811,    6,    0
121147,19630812,    4,    0
121147,19630813,    5,    0
121147,19630814,    4,    0
121147,19630815,    8,    0
121147,19630816,    4,    0
121147,19630817,    7,    0
121147,19630818,    6,    0
121147,19630819,    8,    0
121147,19630820,    7,    0
