EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 17-12-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, BERLIN-TEGELER FLIESSTAL (STAID: 4581).
Blended and updated with sources: 121155 127851 128067 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
127851,19560101,   92,    0
127851,19560102,   88,    0
127851,19560103,   78,    0
127851,19560104,   92,    0
127851,19560105,   94,    0
127851,19560106,   89,    0
127851,19560107,   82,    0
127851,19560108,   82,    0
127851,19560109,   76,    0
127851,19560110,   85,    0
127851,19560111,   84,    0
127851,19560112,   78,    0
127851,19560113,   68,    0
127851,19560114,   77,    0
127851,19560115,   83,    0
127851,19560116,   77,    0
127851,19560117,   80,    0
127851,19560118,   74,    0
127851,19560119,   73,    0
127851,19560120,   87,    0
127851,19560121,   65,    0
127851,19560122,   73,    0
127851,19560123,   87,    0
127851,19560124,   88,    0
127851,19560125,   82,    0
127851,19560126,   89,    0
127851,19560127,   78,    0
127851,19560128,   84,    0
127851,19560129,   74,    0
127851,19560130,   69,    0
127851,19560131,   57,    0
127851,19560201,   59,    0
127851,19560202,   80,    0
127851,19560203,   80,    0
127851,19560204,   75,    0
127851,19560205,   78,    0
127851,19560206,   81,    0
127851,19560207,   75,    0
127851,19560208,   78,    0
127851,19560209,   66,    0
127851,19560210,   56,    0
127851,19560211,   76,    0
127851,19560212,   70,    0
127851,19560213,   76,    0
127851,19560214,   64,    0
127851,19560215,   76,    0
127851,19560216,   76,    0
127851,19560217,   87,    0
127851,19560218,   75,    0
127851,19560219,   84,    0
127851,19560220,   84,    0
127851,19560221,   88,    0
127851,19560222,   71,    0
127851,19560223,   80,    0
127851,19560224,   74,    0
127851,19560225,   77,    0
127851,19560226,   84,    0
127851,19560227,   84,    0
127851,19560228,   92,    0
127851,19560229,   89,    0
127851,19560301,   81,    0
127851,19560302,   77,    0
127851,19560303,   73,    0
127851,19560304,   90,    0
127851,19560305,   72,    0
127851,19560306,   88,    0
127851,19560307,   59,    0
127851,19560308,   58,    0
127851,19560309,   71,    0
127851,19560310,   73,    0
127851,19560311,   65,    0
127851,19560312,   74,    0
127851,19560313,   77,    0
127851,19560314,   79,    0
127851,19560315,   78,    0
127851,19560316,   79,    0
127851,19560317,   84,    0
127851,19560318,   76,    0
127851,19560319,   71,    0
127851,19560320,   64,    0
127851,19560321,   62,    0
127851,19560322,   64,    0
127851,19560323,   71,    0
127851,19560324,   66,    0
127851,19560325,   67,    0
127851,19560326,   73,    0
127851,19560327,   72,    0
127851,19560328,   60,    0
127851,19560329,   47,    0
127851,19560330,   45,    0
127851,19560331,   63,    0
127851,19560401,   81,    0
127851,19560402,   78,    0
127851,19560403,   74,    0
127851,19560404,   83,    0
127851,19560405,   76,    0
127851,19560406,   81,    0
127851,19560407,   66,    0
127851,19560408,   62,    0
