EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 17-12-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : daily Precipitation amount in 0.1 mm
23-27 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, BERLIN-TEGELER FLIESSTAL (STAID: 4581).
Blended and updated with sources: 121150 128062 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
121150,19630101,    0,    0
121150,19630102,    0,    0
121150,19630103,    0,    0
121150,19630104,   13,    0
121150,19630105,    0,    0
121150,19630106,    1,    0
121150,19630107,    0,    0
121150,19630108,    0,    0
121150,19630109,    3,    0
121150,19630110,    3,    0
121150,19630111,    1,    0
121150,19630112,    0,    0
121150,19630113,    9,    0
121150,19630114,    2,    0
121150,19630115,    0,    0
121150,19630116,    0,    0
121150,19630117,    1,    0
121150,19630118,    0,    0
121150,19630119,    0,    0
121150,19630120,    0,    0
121150,19630121,    0,    0
121150,19630122,    0,    0
121150,19630123,    0,    0
121150,19630124,   29,    0
121150,19630125,    3,    0
121150,19630126,   19,    0
121150,19630127,    0,    0
121150,19630128,    4,    0
121150,19630129,    5,    0
121150,19630130,    0,    0
121150,19630131,    3,    0
121150,19630201,    5,    0
121150,19630202,    6,    0
121150,19630203,    2,    0
121150,19630204,    1,    0
121150,19630205,    0,    0
121150,19630206,    0,    0
121150,19630207,    0,    0
121150,19630208,    0,    0
121150,19630209,    0,    0
121150,19630210,    0,    0
121150,19630211,    0,    0
121150,19630212,    1,    0
121150,19630213,    7,    0
121150,19630214,    7,    0
121150,19630215,    0,    0
121150,19630216,    0,    0
121150,19630217,   16,    0
121150,19630218,    3,    0
121150,19630219,    0,    0
121150,19630220,    1,    0
121150,19630221,    0,    0
121150,19630222,    0,    0
121150,19630223,    0,    0
121150,19630224,    0,    0
121150,19630225,    0,    0
121150,19630226,    0,    0
121150,19630227,    0,    0
121150,19630228,    0,    0
121150,19630301,    0,    0
121150,19630302,    0,    0
121150,19630303,    0,    0
121150,19630304,    0,    0
121150,19630305,    0,    0
121150,19630306,    0,    0
121150,19630307,    0,    0
121150,19630308,    6,    0
121150,19630309,   29,    0
121150,19630310,    4,    0
121150,19630311,    3,    0
121150,19630312,   34,    0
121150,19630313,   26,    0
121150,19630314,    0,    0
121150,19630315,    0,    0
121150,19630316,    0,    0
121150,19630317,   40,    0
121150,19630318,    0,    0
121150,19630319,    0,    0
121150,19630320,    0,    0
121150,19630321,    0,    0
121150,19630322,    0,    0
121150,19630323,    0,    0
121150,19630324,    0,    0
121150,19630325,    6,    0
121150,19630326,   31,    0
121150,19630327,    0,    0
121150,19630328,    0,    0
121150,19630329,    0,    0
121150,19630330,    1,    0
121150,19630331,    2,    0
121150,19630401,    0,    0
121150,19630402,    2,    0
121150,19630403,    0,    0
121150,19630404,    0,    0
121150,19630405,    0,    0
121150,19630406,    0,    0
121150,19630407,    0,    0
121150,19630408,    0,    0
121150,19630409,    0,    0
121150,19630410,    0,    0
121150,19630411,  140,    0
121150,19630412,   28,    0
121150,19630413,    0,    0
121150,19630414,    0,    0
121150,19630415,    0,    0
121150,19630416,    7,    0
121150,19630417,    9,    0
121150,19630418,   21,    0
121150,19630419,  142,    0
121150,19630420,    6,    0
121150,19630421,  150,    0
121150,19630422,   22,    0
121150,19630423,    0,    0
121150,19630424,    0,    0
121150,19630425,    0,    0
