EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 17-12-2020
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : daily Minimum temperature in 0.1 &#176;C
23-27 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, BERLIN-TEGELER FLIESSTAL (STAID: 4581).
Blended and updated with sources: 121153 127849 128065 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
127849,19560101,    9,    0
127849,19560102,    6,    0
127849,19560103,  -24,    0
127849,19560104,  -13,    0
127849,19560105,   22,    0
127849,19560106,    5,    0
127849,19560107,  -26,    0
127849,19560108,  -41,    0
127849,19560109,  -31,    0
127849,19560110,  -14,    0
127849,19560111,  -24,    0
127849,19560112,   39,    0
127849,19560113,   41,    0
127849,19560114,    9,    0
127849,19560115,   14,    0
127849,19560116,   29,    0
127849,19560117,   29,    0
127849,19560118,   29,    0
127849,19560119,    9,    0
127849,19560120,    9,    0
127849,19560121,   29,    0
127849,19560122,   19,    0
127849,19560123,   19,    0
127849,19560124,    4,    0
127849,19560125,   -6,    0
127849,19560126,   -6,    0
127849,19560127,  -24,    0
127849,19560128,  -50,    0
127849,19560129,  -46,    0
127849,19560130, -116,    0
127849,19560131, -172,    0
127849,19560201, -213,    0
127849,19560202, -175,    0
127849,19560203,  -55,    0
127849,19560204,  -82,    0
127849,19560205,  -84,    0
127849,19560206,  -49,    0
127849,19560207,  -83,    0
127849,19560208, -125,    0
127849,19560209, -217,    0
127849,19560210, -146,    0
127849,19560211, -206,    0
127849,19560212, -161,    0
127849,19560213, -123,    0
127849,19560214, -125,    0
127849,19560215, -184,    0
127849,19560216, -147,    0
127849,19560217,  -99,    0
127849,19560218, -134,    0
127849,19560219, -100,    0
127849,19560220, -175,    0
127849,19560221, -107,    0
127849,19560222, -132,    0
127849,19560223, -117,    0
127849,19560224, -164,    0
127849,19560225, -147,    0
127849,19560226,  -83,    0
127849,19560227, -101,    0
127849,19560228,   -8,    0
127849,19560229,   11,    0
127849,19560301,   29,    0
127849,19560302,   37,    0
127849,19560303,   39,    0
127849,19560304,    9,    0
127849,19560305,    9,    0
127849,19560306,   -6,    0
127849,19560307,  -27,    0
127849,19560308,  -42,    0
127849,19560309,  -22,    0
127849,19560310,  -16,    0
127849,19560311,  -23,    0
127849,19560312,  -39,    0
127849,19560313,  -21,    0
127849,19560314,  -18,    0
127849,19560315,  -26,    0
127849,19560316,  -24,    0
127849,19560317,  -17,    0
127849,19560318,  -16,    0
127849,19560319,  -16,    0
127849,19560320,  -18,    0
127849,19560321,   19,    0
127849,19560322,   14,    0
127849,19560323,   24,    0
127849,19560324,   33,    0
127849,19560325,   21,    0
127849,19560326,   20,    0
127849,19560327,    6,    0
127849,19560328,    4,    0
127849,19560329,    9,    0
127849,19560330,    1,    0
127849,19560331,    1,    0
127849,19560401,   37,    0
127849,19560402,   25,    0
127849,19560403,   34,    0
127849,19560404,    9,    0
127849,19560405,   -6,    0
127849,19560406,    2,    0
127849,19560407,  -21,    0
127849,19560408,  -33,    0
127849,19560409,   28,    0
127849,19560410,   62,    0
127849,19560411,   28,    0
127849,19560412,    9,    0
127849,19560413,   37,    0
127849,19560414,   58,    0
127849,19560415,   31,    0
127849,19560416,   25,    0
127849,19560417,   14,    0
127849,19560418,   16,    0
127849,19560419,    6,    0
127849,19560420,   14,    0
127849,19560421,   31,    0
127849,19560422,    9,    0
127849,19560423,   16,    0
127849,19560424,   52,    0
127849,19560425,   53,    0
127849,19560426,   50,    0
127849,19560427,   53,    0
127849,19560428,   60,    0
127849,19560429,   50,    0
127849,19560430,   52,    0
127849,19560501,   50,    0
127849,19560502,   39,    0
127849,19560503,   63,    0
127849,19560504,   70,    0
127849,19560505,   95,    0
127849,19560506,  135,    0
127849,19560507,  160,    0
127849,19560508,  132,    0
127849,19560509,   90,    0
127849,19560510,  105,    0
127849,19560511,   75,    0
127849,19560512,   80,    0
127849,19560513,   83,    0
127849,19560514,   86,    0
127849,19560515,   72,    0
127849,19560516,   95,    0
127849,19560517,   90,    0
127849,19560518,   80,    0
127849,19560519,   67,    0
127849,19560520,   52,    0
127849,19560521,   51,    0
127849,19560522,   85,    0
127849,19560523,  106,    0
127849,19560524,  122,    0
127849,19560525,  122,    0
127849,19560526,  123,    0
127849,19560527,   95,    0
127849,19560528,  105,    0
127849,19560529,  103,    0
127849,19560530,  160,    0
127849,19560531,  157,    0
127849,19560601,  145,    0
127849,19560602,  102,    0
127849,19560603,  140,    0
127849,19560604,  152,    0
127849,19560605,  185,    0
127849,19560606,  155,    0
127849,19560607,  165,    0
127849,19560608,  110,    0
127849,19560609,  112,    0
127849,19560610,  107,    0
127849,19560611,  112,    0
127849,19560612,  138,    0
127849,19560613,  130,    0
127849,19560614,  120,    0
127849,19560615,  105,    0
127849,19560616,   96,    0
127849,19560617,   82,    0
127849,19560618,  142,    0
127849,19560619,  130,    0
127849,19560620,  130,    0
127849,19560621,  110,    0
127849,19560622,  102,    0
127849,19560623,  125,    0
127849,19560624,  115,    0
127849,19560625,   90,    0
127849,19560626,  110,    0
127849,19560627,  120,    0
127849,19560628,   96,    0
127849,19560629,  110,    0
127849,19560630,  100,    0
127849,19560701,  103,    0
127849,19560702,  160,    0
127849,19560703,  138,    0
127849,19560704,  137,    0
127849,19560705,  165,    0
127849,19560706,  164,    0
127849,19560707,  130,    0
127849,19560708,  130,    0
127849,19560709,  122,    0
127849,19560710,  147,    0
127849,19560711,  170,    0
127849,19560712,  135,    0
127849,19560713,  147,    0
127849,19560714,  180,    0
127849,19560715,  172,    0
127849,19560716,  142,    0
127849,19560717,  122,    0
127849,19560718,  122,    0
127849,19560719,  140,    0
127849,19560720,  145,    0
127849,19560721,  147,    0
127849,19560722,  136,    0
127849,19560723,  135,    0
127849,19560724,  125,    0
127849,19560725,  122,    0
127849,19560726,  125,    0
